time,temperature_2m,relative_humidity_2m,surface_pressure,wind_speed_10m,wind_direction_10m,cloud_cover,precipitation,shortwave_radiation,pm2_5,pm10,nitrogen_dioxide,sulphur_dioxide,carbon_monoxide,ozone,dust,aerosol_optical_depth,city,aqi,hour,day,month,weekday,is_weekend,season,aqi_lag_1h,aqi_lag_3h,aqi_lag_6h,aqi_lag_12h,aqi_lag_24h,aqi_roll_mean_3h,aqi_roll_max_3h,aqi_roll_min_3h,aqi_roll_std_3h,aqi_roll_mean_6h,aqi_roll_max_6h,aqi_roll_min_6h,aqi_roll_std_6h,aqi_roll_mean_24h,aqi_roll_max_24h,aqi_roll_min_24h,aqi_roll_std_24h,pm_ratio,wind_pollution_interaction,aqi_change_rate,temp_diff,humidity_diff,target_aqi_24h,target_aqi_48h,target_aqi_72h
2026-08-23 16:00:00,33.4,60,980.3,7.9,300,42,0.0,270.0,35.3,109.84,2.58,1.33,160.71,75.52,,,Faisalabad,100.0,16,23,8,6,1,summer,,,,,,,,,,,,,,,,,,0.3213765477057538,278.87,,,,,,
2026-08-25 21:00:00,31.8,69,981.6,4.1,135,0,0.0,0.0,49.92,111.31,17.73,4.31,506.38,34.8,,,Faisalabad,137.0,21,25,8,1,0,summer,130.0,139.0,127.0,138.0,157.0,130.0,139.0,121.0,8.999999999999984,130.0,139.0,121.0,6.000000000000161,145.875,160.0,121.0,12.584712948653209,0.44847722576587906,204.672,7.0,-1.3000000000000007,5.0,,,
2026-08-23 16:00:00,34.5,50,997.2,18.3,204,1,0.0,408.0,22.46,101.51,0.93,1.9,84.61,40.43,,,Hyderabad,74.0,16,23,8,6,1,summer,,,,,,,,,,,,,,,,,,0.2212589892621416,411.018,,,,,,
2026-08-25 21:00:00,28.8,68,1001.8,17.4,223,0,0.0,0.0,18.84,69.87,1.9,2.7,96.7,36.42,,,Hyderabad,65.0,21,25,8,1,0,summer,65.0,65.0,67.0,64.0,85.0,65.0,65.0,65.0,0.0,65.66666666666667,67.0,65.0,0.8164965809273512,69.54166666666667,85.0,64.0,6.035973079337976,0.2696436238729068,327.816,0.0,-3.0,12.0,,,
2026-08-23 16:00:00,30.9,67,944.9,6.2,262,18,0.0,333.0,46.9,62.16,2.37,1.9,326.25,125.63,,,Islamabad,129.0,16,23,8,6,1,summer,,,,,,,,,,,,,,,,,,0.7545045045045046,290.78,,,,,,
2026-08-25 21:00:00,27.9,73,945.9,3.8,357,0,0.0,0.0,50.22,87.18,27.27,2.31,641.05,50.24,,,Islamabad,137.0,21,25,8,1,0,summer,130.0,134.0,138.0,154.0,120.0,128.33333333333334,134.0,121.0,6.658328118479388,131.33333333333334,138.0,121.0,5.785038173310724,143.41666666666666,162.0,120.0,12.628183340954218,0.5760495526496903,190.83599999999998,7.0,-0.6000000000000014,-1.0,,,
2026-08-23 16:00:00,28.4,79,1001.4,15.1,219,66,0.0,270.0,22.24,104.06,0.09,0.52,71.12,36.1,,,Karachi,75.0,16,23,8,6,1,summer,,,,,,,,,,,,,,,,,,0.2137228522006534,335.824,,,,,,
2026-08-25 21:00:00,27.3,78,1005.4,12.2,237,23,0.0,0.0,17.49,69.1,0.09,0.35,70.92,39.14,,,Karachi,62.0,21,25,8,1,0,summer,63.0,65.0,67.0,66.0,73.0,64.0,65.0,63.0,1.0000000000000018,65.33333333333333,67.0,63.0,1.6329931618555087,66.54166666666667,73.0,63.0,2.264646371600928,0.2531114327062229,213.37799999999996,-1.0,-0.09999999999999787,0.0,,,
2026-08-23 16:00:00,32.9,65,976.1,7.7,298,37,0.1,265.0,35.08,99.14,3.23,1.94,180.3,79.72,,,Lahore,99.0,16,23,8,6,1,summer,,,,,,,,,,,,,,,,,,0.3538430502319951,270.116,,,,,,
2026-08-25 21:00:00,30.5,79,978.2,5.3,123,1,0.0,0.0,57.91,107.91,21.49,3.47,635.62,33.5,,,Lahore,152.0,21,25,8,1,0,summer,149.0,129.0,119.0,158.0,155.0,139.0,149.0,129.0,9.99999999999999,130.0,149.0,119.0,11.78134118001835,150.625,168.0,119.0,16.409998277826258,0.5366509127977018,306.92299999999994,3.0,-0.6999999999999993,5.0,,,
