time,city,temperature_2m,relative_humidity_2m,surface_pressure,wind_speed_10m,wind_direction_10m,cloud_cover,precipitation,shortwave_radiation,pm2_5,pm10,nitrogen_dioxide,sulphur_dioxide,carbon_monoxide,ozone,dust,aerosol_optical_depth,aqi
2026-08-06 15:00:00,Faisalabad,35.5,56,976.0,4.9,174,13,0.0,606.0,54.98,172.38,1.81,1.86,217.07,97.8,,,149
2026-08-06 16:00:00,Faisalabad,35.5,55,975.8,4.6,167,23,0.0,440.0,56.04,170.78,2.73,1.79,236.79,95.05,,,151
2026-08-06 17:00:00,Faisalabad,35.0,57,975.9,4.9,156,27,0.0,260.0,56.95,170.05,4.18,1.83,261.42,91.73,,,152
2026-08-06 18:00:00,Faisalabad,33.2,69,976.4,6.6,137,23,0.0,94.0,59.75,170.29,8.72,2.09,335.46,76.42,,,153
2026-08-06 19:00:00,Faisalabad,32.1,74,976.8,4.4,128,14,0.0,5.0,60.16,220.51,11.67,2.7,351.43,52.11,,,153
2026-08-06 20:00:00,Faisalabad,31.6,76,977.3,7.4,116,13,0.0,0.0,61.38,215.45,13.48,2.71,402.76,46.32,,,154
2026-08-07 03:00:00,Faisalabad,24.2,99,979.1,12.8,99,100,2.8,0.0,47.38,122.61,11.69,1.63,434.22,34.68,,,130
2026-08-07 04:00:00,Faisalabad,25.0,95,978.9,9.5,69,55,0.6,0.0,45.49,110.44,11.18,1.52,424.33,34.85,,,126
2026-08-07 05:00:00,Faisalabad,25.1,96,979.2,9.1,82,39,0.1,0.0,44.13,101.04,11.12,1.41,424.69,33.09,,,122
2026-08-07 06:00:00,Faisalabad,26.2,88,979.4,9.3,58,23,0.0,25.0,43.1,94.21,10.97,1.35,429.63,30.8,,,120
2026-08-07 07:00:00,Faisalabad,27.2,87,979.8,8.2,76,27,0.0,141.0,42.85,91.48,10.3,1.43,448.92,28.53,,,119
2026-08-07 08:00:00,Faisalabad,28.5,85,980.1,9.5,75,19,0.0,310.0,43.44,90.99,8.68,1.59,478.62,28.84,,,121
2026-08-07 09:00:00,Faisalabad,30.5,77,980.3,9.7,106,100,0.0,420.0,42.37,96.07,6.95,1.94,435.2,42.3,,,118
2026-08-07 10:00:00,Faisalabad,31.3,75,980.9,5.7,108,100,0.0,396.0,49.17,101.65,5.58,2.17,432.06,62.89,,,135
2026-08-07 11:00:00,Faisalabad,32.1,70,980.5,7.2,90,100,0.0,543.0,67.56,116.63,3.95,2.46,448.05,94.3,,,157
2026-08-07 12:00:00,Faisalabad,32.3,65,980.1,7.1,71,2,0.0,838.0,63.27,140.14,1.78,2.46,321.58,106.64,,,155
2026-08-07 13:00:00,Faisalabad,33.0,62,979.4,6.4,80,0,0.0,831.0,58.61,146.62,1.21,2.1,263.44,105.89,,,153
2026-08-07 14:00:00,Faisalabad,33.5,60,978.4,5.0,69,1,0.0,759.0,59.01,142.7,1.15,2.01,259.98,108.94,,,153
2026-08-07 16:00:00,Faisalabad,33.6,58,977.2,4.4,52,0,0.0,469.0,59.3,132.17,1.59,1.97,271.37,112.28,,,153
2026-08-07 17:00:00,Faisalabad,33.2,59,976.8,3.6,53,0,0.0,281.0,60.88,126.1,2.27,2.14,290.25,113.72,,,154
2026-08-07 18:00:00,Faisalabad,31.9,68,977.2,3.6,127,4,0.0,111.0,64.88,122.77,5.1,2.33,348.03,102.34,,,156
2026-08-07 19:00:00,Faisalabad,30.4,77,977.6,3.2,128,2,0.0,4.0,63.21,103.05,10.04,2.47,427.59,78.07,,,155
2026-08-07 20:00:00,Faisalabad,29.4,81,978.2,4.6,111,2,0.0,0.0,68.26,105.13,13.09,2.67,522.54,64.06,,,158
2026-08-07 21:00:00,Faisalabad,28.8,83,978.9,3.6,90,1,0.0,0.0,72.66,106.63,15.52,2.78,605.75,54.63,,,160
2026-08-07 22:00:00,Faisalabad,28.4,85,979.2,3.4,93,1,0.0,0.0,77.38,109.19,17.33,2.84,685.61,47.13,,,162
2026-08-07 23:00:00,Faisalabad,28.3,85,979.5,2.8,101,1,0.0,0.0,81.35,111.32,18.6,2.75,747.15,41.08,,,164
2026-08-08 00:00:00,Faisalabad,27.4,81,980.3,4.2,85,0,0.0,0.0,83.41,111.17,19.11,2.46,780.52,35.51,,,165
2026-08-08 01:00:00,Faisalabad,27.0,85,980.0,4.7,43,0,0.0,0.0,86.37,111.56,19.24,2.14,816.65,30.51,,,167
2026-08-08 02:00:00,Faisalabad,26.8,86,980.1,5.1,48,0,0.0,0.0,90.41,112.9,18.96,1.93,860.1,27.72,,,169
2026-08-08 03:00:00,Faisalabad,26.6,87,980.0,5.5,63,0,0.0,0.0,94.61,114.53,17.87,1.94,894.59,29.34,,,171
2026-08-08 04:00:00,Faisalabad,26.4,87,979.7,5.2,61,0,0.0,0.0,99.48,117.32,17.12,1.98,931.6,30.34,,,174
2026-08-08 05:00:00,Faisalabad,26.2,87,979.9,6.3,75,0,0.0,0.0,104.61,120.73,16.29,2.0,963.68,32.02,,,176
