iter	RMSE
0	0.4649255695
1	0.4620763489
2	0.4592756581
3	0.4564969924
4	0.4537653197
5	0.4510866623
6	0.4483915165
7	0.4457528308
8	0.4431296011
9	0.4405633301
10	0.43803721
11	0.4355361619
12	0.4330980817
13	0.4306929156
14	0.4282852342
15	0.4259308329
16	0.4235787088
17	0.4212677936
18	0.4190175157
19	0.4167950559
20	0.4145813738
21	0.4124178424
22	0.4102630413
23	0.408132986
24	0.4060464646
25	0.4039873102
26	0.4019456112
27	0.399951134
28	0.3979686124
29	0.3960538599
30	0.3941675307
31	0.3922657405
32	0.3904147738
33	0.3885984684
34	0.3867947163
35	0.3850027594
36	0.3832717583
37	0.3815080905
38	0.3797838879
39	0.3781038199
40	0.3764366535
41	0.3748001177
42	0.3731573712
43	0.3715652338
44	0.3699812271
45	0.3684166129
46	0.3668719846
47	0.3653726513
48	0.3639177129
49	0.3624762947
50	0.3610437464
51	0.3596133974
52	0.3582242491
53	0.3568315985
54	0.3554615091
55	0.3541186241
56	0.352803177
57	0.3514942506
58	0.3501983898
59	0.3489386148
60	0.347727263
61	0.3465011798
62	0.3452883952
63	0.3440870148
64	0.3429065769
65	0.3417429556
66	0.3406143773
67	0.3395045157
68	0.3384030456
69	0.3373275234
70	0.3362566517
71	0.3352095897
72	0.3341748252
73	0.3331495777
74	0.332147128
75	0.3311555073
76	0.3301613911
77	0.3291929869
78	0.3282381832
79	0.3272892043
80	0.3263522718
81	0.325441871
82	0.3245515467
83	0.3236907771
84	0.3228086686
85	0.3219413063
86	0.3211106702
87	0.3202940535
88	0.3194840358
89	0.3186874109
90	0.3179022978
91	0.3171154334
92	0.3163868941
93	0.3156125393
94	0.314867161
95	0.314144229
96	0.3134228714
97	0.312733293
98	0.3120428736
99	0.3113719991
100	0.3106887573
101	0.3100311942
102	0.3093835952
103	0.3087555484
104	0.3081133213
105	0.3075085067
106	0.3068980072
107	0.3062968866
108	0.3056901218
109	0.3051000648
110	0.3045002617
111	0.3039366356
112	0.3033755781
113	0.3028064984
114	0.3022474847
115	0.3017117578
116	0.3011798671
117	0.3006727025
118	0.3001575024
119	0.2996405256
120	0.2991351612
121	0.298651793
122	0.298166737
123	0.2977043059
124	0.2972315726
125	0.2967662553
126	0.2963312925
127	0.2958975031
128	0.2954304643
129	0.295003874
130	0.2945546188
131	0.2941104141
132	0.2937113323
133	0.2933072002
134	0.2929095339
135	0.2925052295
136	0.2921144589
137	0.2917471868
138	0.2913520889
139	0.2909713114
140	0.2906181379
141	0.2902349673
142	0.2898770329
143	0.2895494198
144	0.2892129018
145	0.2888664909
146	0.2885411352
147	0.2882030256
148	0.2878755266
149	0.2875515831
150	0.2872158368
151	0.2868978283
152	0.2865943898
153	0.286251191
154	0.2859610604
155	0.2856483318
156	0.2853608933
157	0.285054392
158	0.2847638778
159	0.2844789515
160	0.2841916598
161	0.2839234412
162	0.2836610397
163	0.2833890328
164	0.2831234428
165	0.2828862584
166	0.2826419381
167	0.2824007753
168	0.282143148
169	0.2818628785
170	0.2816378054
171	0.2814016192
172	0.2811711371
173	0.2809182875
174	0.2807072448
175	0.280490415
176	0.2802742076
177	0.2800620286
178	0.2798225098
179	0.2796180903
180	0.2794079347
181	0.2791854506
182	0.2789824965
183	0.2787877503
184	0.2785625545
185	0.2783632843
186	0.2781767885
187	0.2779693001
188	0.277773041
189	0.2775685619
190	0.2773974552
191	0.277212255
192	0.277004316
193	0.27684312
194	0.2766512254
195	0.2764649121
196	0.2763058291
197	0.2761217406
198	0.2759342019
199	0.2757657543
200	0.2755996919
201	0.2754467728
202	0.2752963286
203	0.2751084809
204	0.2749344964
205	0.2747622619
206	0.2746022926
207	0.2744235831
208	0.2742434444
209	0.2740965076
210	0.2739542036
211	0.273801018
212	0.2736423348
213	0.273506286
214	0.2733634699
215	0.273221214
216	0.2730905321
217	0.2729571025
218	0.2728304417
219	0.2726935174
220	0.2725767184
221	0.2724525345
222	0.2723046664
223	0.2721864994
224	0.2720605679
225	0.2719251278
226	0.2718123006
227	0.2716926324
228	0.2715588352
229	0.2714380996
230	0.2713163015
231	0.2711763295
232	0.2710312489
233	0.2709371241
234	0.2708242961
235	0.2707062767
236	0.2705936825
237	0.2704905181
238	0.270371025
239	0.2702750163
240	0.2701773363
241	0.2700761583
242	0.2699579574
243	0.269861593
244	0.2697513129
245	0.2696364891
246	0.2695364515
247	0.26943852
248	0.2693278202
249	0.2692256873
250	0.2691281844
251	0.2690361512
252	0.2689252425
253	0.2688403501
254	0.2687252507
255	0.2686224708
256	0.2685127199
257	0.268413227
258	0.2683132995
259	0.268215304
260	0.2681273353
261	0.2680229365
262	0.2679262849
263	0.2678111901
264	0.2677346717
265	0.2676325585
266	0.2675247953
267	0.2674470683
268	0.2673610084
269	0.2672545661
270	0.2671622888
271	0.2670594739
272	0.2669545246
273	0.2668858736
274	0.2668010155
275	0.2667153956
276	0.266631515
277	0.2665369325
278	0.2664632557
279	0.2663541993
280	0.2662639644
281	0.2661964797
282	0.2661246968
283	0.2660399254
284	0.2659397473
285	0.265860621
286	0.2657897586
287	0.2657264999
288	0.2656514123
289	0.2655616315
290	0.265478716
291	0.2654001384
292	0.2653293003
293	0.265267012
294	0.2651971076
295	0.2651299093
296	0.2650552628
297	0.2649652124
298	0.2649058769
299	0.2648454615
300	0.2647724585
301	0.2646982581
302	0.2646385517
303	0.2645606391
304	0.2644808649
305	0.264401194
306	0.2643364527
307	0.2642659049
308	0.2642069394
309	0.2641348985
310	0.2640526798
311	0.2639821689
312	0.2638825823
313	0.2638035097
314	0.2637567057
315	0.2636828133
316	0.2636123621
317	0.2635572898
318	0.2634903289
319	0.2634243157
320	0.2633597829
321	0.2633041578
322	0.2632465948
323	0.2631824331
324	0.2631081258
325	0.2630365176
326	0.2629892123
327	0.2629232235
328	0.2628505499
329	0.2627890719
330	0.2627275353
331	0.2626711762
332	0.2626090618
333	0.2625556297
334	0.2624972726
335	0.2624349783
336	0.2623831533
337	0.2623110016
338	0.2622475362
339	0.2621786537
340	0.2621339418
341	0.262075573
342	0.262029077
343	0.2619787424
344	0.2619270862
345	0.2618747303
346	0.2618034607
347	0.2617654672
348	0.2616972792
349	0.2616421042
350	0.2615838142
351	0.2615406005
352	0.2614775043
353	0.2613974336
354	0.2613430146
355	0.2613007378
356	0.2612578359
357	0.2612131307
358	0.2611718218
359	0.2611198557
360	0.2610732875
361	0.2610172192
362	0.2609775869
363	0.2609297502
364	0.2608915479
365	0.2608378482
366	0.2607879053
367	0.2607344812
368	0.2606865965
369	0.260621394
370	0.260575809
371	0.2605189945
372	0.2604753593
373	0.260435135
374	0.2604052266
375	0.2603483782
376	0.2603034831
377	0.2602603395
378	0.2602068045
379	0.2601597024
380	0.2601059438
381	0.26006624
382	0.2600010818
383	0.2599639833
384	0.2599034651
385	0.2598375124
386	0.2597969423
387	0.2597374487
388	0.259692459
389	0.2596426085
390	0.2596026572
391	0.2595577803
392	0.2595044437
393	0.2594605929
394	0.2594121399
395	0.2593741943
396	0.2593376468
397	0.2592972207
398	0.2592497684
399	0.259216589
400	0.2591652741
401	0.259123852
402	0.2590729907
403	0.2590243004
404	0.2589821772
405	0.2589397005
406	0.2588964924
407	0.2588565739
408	0.2588184225
409	0.2587689689
410	0.2587223454
411	0.2586711732
412	0.2586265847
413	0.2585807666
414	0.2585339823
415	0.2584790624
416	0.2584137758
417	0.258376989
418	0.2583222792
419	0.2582877555
420	0.2582421374
421	0.2581908728
422	0.2581502162
423	0.2581223545
424	0.2580740375
425	0.2580346044
426	0.2579766287
427	0.2579374295
428	0.2578938331
429	0.2578613977
430	0.2578242516
431	0.2577763416
432	0.2577465176
433	0.2577027459
434	0.2576567714
435	0.2576139265
436	0.2575633847
437	0.2575133054
438	0.2574626811
439	0.2574159243
440	0.2573830376
441	0.2573522838
442	0.2572980481
443	0.2572643673
444	0.2572263229
445	0.2571864215
446	0.2571584874
447	0.2571096738
