iter	Passed	Remaining
0	84	66868
1	168	66342
2	229	60141
3	289	56742
4	368	57653
5	473	61696
6	568	63471
7	645	62960
8	707	61278
9	798	62154
10	898	63471
11	1123	72667
12	1208	72037
13	1304	72135
14	1379	71101
15	1497	72277
16	1656	75113
17	1731	74062
18	1820	73674
19	1901	72998
20	2002	73148
21	2077	72343
22	2143	71294
23	2212	70435
24	2290	69920
25	2349	68850
26	2406	67828
27	2470	67058
28	2533	66320
29	2597	65640
30	2664	65071
31	2744	64835
32	2823	64593
33	2906	64461
34	2982	64168
35	3063	63996
36	3149	63932
37	3224	63639
38	3295	63282
39	3364	62920
40	3439	62672
41	3502	62204
42	3562	61726
43	3622	61260
44	3686	60867
45	3760	60659
46	3832	60423
47	3916	60382
48	3999	60313
49	4070	60075
50	4137	59789
51	4214	59651
52	4283	59402
53	4354	59185
54	4417	58879
55	4489	58684
56	4573	58646
57	4654	58580
58	4729	58436
59	4812	58386
60	4898	58380
61	5010	58674
62	5141	59173
63	5240	59278
64	5326	59243
65	5466	59801
66	5571	59955
67	5676	60100
68	5804	60482
69	5935	60882
70	6062	61225
71	6163	61295
72	6262	61334
73	6359	61363
74	6455	61366
75	6539	61261
76	6623	61163
77	6713	61109
78	6805	61079
79	6929	61324
80	7012	61207
81	7084	60994
82	7171	60914
83	7256	60813
84	7339	60698
85	7415	60528
86	7488	60341
87	7559	60130
88	7643	60034
89	7713	59819
90	7788	59657
91	7870	59544
92	7980	59637
93	8091	59735
94	8190	59750
95	8269	59607
96	8470	60340
97	8634	60790
98	8773	61062
99	8930	61444
100	9112	61982
101	9196	61850
102	9308	61903
103	9403	61845
104	9491	61741
105	9578	61629
106	9671	61555
107	9764	61478
108	9839	61292
109	9923	61164
110	9999	60987
111	10087	60882
112	10166	60727
113	10263	60678
114	10339	60506
115	10411	60313
116	10480	60103
117	10562	59974
118	10634	59783
119	10704	59590
120	10774	59392
121	10850	59230
122	10931	59099
123	11020	59010
124	11137	59072
125	11222	58962
126	11318	58912
